set,,A1,A1,A1,A1,A1,A1,A1,A2,A3
log_num_sentences,mean,5.795267552027965,8.173881834257044,2.6523857917362244,3.623241674923553,3.046287988666126,3.049173008069159,2.3911233310363125,5.838920186449181,3.028011361478931
log_num_sentences,median,5.811140992976701,8.388677769180811,2.5649493574615367,3.5263605246161616,3.1354942159291497,2.995732273553991,2.3978952727983707,5.872117789475416,3.091042453358316
rps_doc_unigram_entropy,mean,5.9065761131219165,6.583408108128655,4.518400841901,5.23388212876971,3.8611969520489997,4.5006941841220005,4.361842000374,5.927951075331279,3.8449947976408576
rps_doc_unigram_entropy,median,5.92790847,6.60434536,4.53099923,5.240156765,3.920187395,4.51415478,4.430807815,5.94903939,3.895864535
uniq_heaps_resid,mean,-0.0525841140681883,-0.2944778618280262,0.15889635449038528,0.1861255696742678,-0.016354061922479797,0.08599909944945261,0.14282809433421187,-0.056292617168352904,-0.021577983294903572
uniq_heaps_resid,median,-0.025870352857484402,-0.30604143242129744,0.18056383495121953,0.21145146710763352,0.016737924518498204,0.0977998665576687,0.149821169109289,-0.0336272736489831,0.010468306026164775
rps_doc_frac_no_alph_words,mean,30.5096173842995,23.24607115779652,20.66200678991614,21.228087329792967,35.25281622983369,30.893371220875387,32.95267470336156,30.466363159836106,35.358940170963606
rps_doc_frac_no_alph_words,median,29.575698920000875,22.65331166665136,20.283484965125822,20.657084648166823,34.815413877282055,28.574096803458026,23.70536037855021,29.587024042332917,35.049153834589696
top2_clip,mean,1.1658974350901794,0.7990278104819107,3.4612611852463444,2.428935152875633,3.7242,3.518083435539743,5.147510372207906,1.1612780134137812,3.818676626487102
top2_clip,median,0.9997093868061612,0.6856390613144159,2.4686279588240376,1.7720023752867644,2.0,2.602582350012403,3.0460607921123324,0.9839816933638444,2.0
top3_clip,mean,0.889239457544972,0.3004030967593237,2.826711664123704,2.1999878602240996,3.1108,3.5312374164215536,3.204,0.8996134853295932,3.1702314578507207
top3_clip,median,0.6724949562878278,0.1711565196862786,1.642822925077199,1.5888882513722544,1.0,2.634641151351352,1.0,0.6756373133480952,1.0
rps_lines_uppercase_letter_fraction,mean,19.50526970910975,46.83091353182356,4.270051969321339,8.346239241190013,22.78594239941621,28.671208564057103,35.54591339160852,19.032866450123567,22.916413592601607
rps_lines_uppercase_letter_fraction,median,17.503021377626336,51.7299268599476,3.4077113247950876,7.48440693316058,21.221826479573622,27.542307889757378,36.93411892308441,16.833309059748657,21.34579974504785
rps_lines_ending_with_terminal_punctution_mark,mean,35.559608247632546,74.61286815847856,100.0,51.565893042573705,24.489913419030092,47.55463076214624,51.6001964105086,34.97276860637075,24.58359524384519
rps_lines_ending_with_terminal_punctution_mark,median,33.57664233576642,79.08064616728,100.0,52.63157894736842,21.875,41.17647058823529,52.94117647058824,32.77777777777778,22.22222222222222
rps_lines_numerical_chars_fraction,mean,4.122667620234904,3.334215917476763,1.242977948675416,2.7870461879787114,1.4657890379765526,3.3449107898685426,3.4192809113098614,4.123259840350197,1.5020861096981346
rps_lines_numerical_chars_fraction,median,3.0318052468503027,1.5397346169714534,0.4907375196540671,1.8253663810770864,0.5999236833836159,1.2180710878361496,2.1287085766542275,3.098983671703756,0.6035052135507961
rps_doc_mean_word_length,mean,5.827555136992133,4.5758598905674654,4.886565365206372,4.992808170707581,9.787582856955238,5.6352044266368635,5.768735831189921,5.81818027983391,9.740660206988185
rps_doc_mean_word_length,median,5.734962644042041,4.503931562091016,4.815275246080933,4.958840465731361,9.00947926442106,5.174843768777791,5.631578947368421,5.728257686676428,8.981537852449646
