model_dir,task,acc
01-ai_Yi-1.5-34B-32K,leaderboard_bbh_web_of_lies,0.468
01-ai_Yi-1.5-34B-32K,leaderboard_gpqa_diamond,0.41414141414141414
01-ai_Yi-1.5-34B-32K,leaderboard_gpqa_extended,0.3534798534798535
01-ai_Yi-1.5-34B-32K,leaderboard_gpqa_main,0.35267857142857145
01-ai_Yi-1.5-34B-32K,leaderboard_math_algebra_hard,0.23452768729641693
01-ai_Yi-1.5-34B-32K,leaderboard_math_counting_and_prob_hard,0.07317073170731707
01-ai_Yi-1.5-34B-32K,leaderboard_math_geometry_hard,0.06060606060606061
01-ai_Yi-1.5-34B-32K,leaderboard_math_intermediate_algebra_hard,0.03571428571428571
01-ai_Yi-1.5-34B-32K,leaderboard_math_num_theory_hard,0.09740259740259741
01-ai_Yi-1.5-34B-32K,leaderboard_math_prealgebra_hard,0.29015544041450775
01-ai_Yi-1.5-34B-32K,leaderboard_math_precalculus_hard,0.05925925925925926
01-ai_Yi-1.5-34B-32K,leaderboard_musr_murder_mysteries,0.564
01-ai_Yi-1.5-34B-32K,leaderboard_musr_object_placements,0.35546875
01-ai_Yi-1.5-34B-32K,leaderboard_musr_team_allocation,0.4
01-ai_Yi-1.5-34B-Chat,leaderboard_arc_challenge,0.643344709897611
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_boolean_expressions,0.88
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_causal_judgement,0.6042780748663101
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_date_understanding,0.628
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_disambiguation_qa,0.808
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_formal_fallacies,0.636
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_geometric_shapes,0.44
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_hyperbaton,0.732
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_logical_deduction_five_objects,0.552
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_logical_deduction_seven_objects,0.536
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_logical_deduction_three_objects,0.792
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_movie_recommendation,0.696
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_navigate,0.624
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_object_counting,0.384
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_penguins_in_a_table,0.5684931506849316
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_reasoning_about_colored_objects,0.752
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_ruin_names,0.768
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_salient_translation_error_detection,0.616
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_snarks,0.8202247191011236
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_sports_understanding,0.832
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_temporal_sequences,0.548
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_tracking_shuffled_objects_five_objects,0.248
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_tracking_shuffled_objects_seven_objects,0.248
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_tracking_shuffled_objects_three_objects,0.34
01-ai_Yi-1.5-34B-Chat,leaderboard_bbh_web_of_lies,0.548
01-ai_Yi-1.5-34B-Chat,leaderboard_gpqa_diamond,0.3686868686868687
01-ai_Yi-1.5-34B-Chat,leaderboard_gpqa_extended,0.35714285714285715
01-ai_Yi-1.5-34B-Chat,leaderboard_gpqa_main,0.37276785714285715
01-ai_Yi-1.5-34B-Chat,leaderboard_math_algebra_hard,0.42671009771986973
01-ai_Yi-1.5-34B-Chat,leaderboard_math_counting_and_prob_hard,0.15447154471544716
01-ai_Yi-1.5-34B-Chat,leaderboard_math_geometry_hard,0.06818181818181818
01-ai_Yi-1.5-34B-Chat,leaderboard_math_intermediate_algebra_hard,0.07857142857142857
01-ai_Yi-1.5-34B-Chat,leaderboard_math_num_theory_hard,0.22077922077922077
01-ai_Yi-1.5-34B-Chat,leaderboard_math_prealgebra_hard,0.42487046632124353
01-ai_Yi-1.5-34B-Chat,leaderboard_math_precalculus_hard,0.08888888888888889
01-ai_Yi-1.5-34B-Chat,leaderboard_musr_murder_mysteries,0.584
01-ai_Yi-1.5-34B-Chat,leaderboard_musr_object_placements,0.30859375
01-ai_Yi-1.5-34B-Chat,leaderboard_musr_team_allocation,0.392
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_boolean_expressions,0.936
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_causal_judgement,0.6310160427807486
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_date_understanding,0.616
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_disambiguation_qa,0.724
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_formal_fallacies,0.624
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_geometric_shapes,0.452
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_hyperbaton,0.64
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_logical_deduction_five_objects,0.468
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_logical_deduction_seven_objects,0.492
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_logical_deduction_three_objects,0.772
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_movie_recommendation,0.76
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_navigate,0.688
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_object_counting,0.372
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_penguins_in_a_table,0.6301369863013698
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_reasoning_about_colored_objects,0.704
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_ruin_names,0.812
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_salient_translation_error_detection,0.592
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_snarks,0.8033707865168539
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_sports_understanding,0.84
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_temporal_sequences,0.8
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_tracking_shuffled_objects_five_objects,0.212
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_tracking_shuffled_objects_seven_objects,0.2
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_tracking_shuffled_objects_three_objects,0.352
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_bbh_web_of_lies,0.52
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_gpqa_diamond,0.3787878787878788
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_gpqa_extended,0.32051282051282054
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_gpqa_main,0.34151785714285715
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_math_algebra_hard,0.34527687296416937
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_math_counting_and_prob_hard,0.18699186991869918
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_math_geometry_hard,0.06818181818181818
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_math_intermediate_algebra_hard,0.014285714285714285
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_math_num_theory_hard,0.15584415584415584
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_math_prealgebra_hard,0.40414507772020725
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_math_precalculus_hard,0.037037037037037035
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_musr_murder_mysteries,0.548
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_musr_object_placements,0.36328125
01-ai_Yi-1.5-34B-Chat-16K,leaderboard_musr_team_allocation,0.408
01-ai_Yi-1.5-6B,leaderboard_arc_challenge,0.5255972696245734
01-ai_Yi-1.5-6B,leaderboard_bbh_boolean_expressions,0.848
01-ai_Yi-1.5-6B,leaderboard_bbh_causal_judgement,0.5240641711229946
01-ai_Yi-1.5-6B,leaderboard_bbh_date_understanding,0.568
01-ai_Yi-1.5-6B,leaderboard_bbh_disambiguation_qa,0.516
01-ai_Yi-1.5-6B,leaderboard_bbh_formal_fallacies,0.5
01-ai_Yi-1.5-6B,leaderboard_bbh_geometric_shapes,0.412
01-ai_Yi-1.5-6B,leaderboard_bbh_hyperbaton,0.492
01-ai_Yi-1.5-6B,leaderboard_bbh_logical_deduction_five_objects,0.328
01-ai_Yi-1.5-6B,leaderboard_bbh_logical_deduction_seven_objects,0.264
01-ai_Yi-1.5-6B,leaderboard_bbh_logical_deduction_three_objects,0.436
01-ai_Yi-1.5-6B,leaderboard_bbh_movie_recommendation,0.844
01-ai_Yi-1.5-6B,leaderboard_bbh_navigate,0.448
01-ai_Yi-1.5-6B,leaderboard_bbh_object_counting,0.38
01-ai_Yi-1.5-6B,leaderboard_bbh_penguins_in_a_table,0.3493150684931507
01-ai_Yi-1.5-6B,leaderboard_bbh_reasoning_about_colored_objects,0.296
01-ai_Yi-1.5-6B,leaderboard_bbh_ruin_names,0.544
01-ai_Yi-1.5-6B,leaderboard_bbh_salient_translation_error_detection,0.352
01-ai_Yi-1.5-6B,leaderboard_bbh_snarks,0.5786516853932584
01-ai_Yi-1.5-6B,leaderboard_bbh_sports_understanding,0.7
01-ai_Yi-1.5-6B,leaderboard_bbh_temporal_sequences,0.344
01-ai_Yi-1.5-6B,leaderboard_bbh_tracking_shuffled_objects_five_objects,0.104
01-ai_Yi-1.5-6B,leaderboard_bbh_tracking_shuffled_objects_seven_objects,0.12
01-ai_Yi-1.5-6B,leaderboard_bbh_tracking_shuffled_objects_three_objects,0.328
01-ai_Yi-1.5-6B,leaderboard_bbh_web_of_lies,0.496
01-ai_Yi-1.5-6B,leaderboard_gpqa_diamond,0.29797979797979796
01-ai_Yi-1.5-6B,leaderboard_gpqa_extended,0.3315018315018315
01-ai_Yi-1.5-6B,leaderboard_gpqa_main,0.29464285714285715
01-ai_Yi-1.5-6B,leaderboard_math_algebra_hard,0.11074918566775244
01-ai_Yi-1.5-6B,leaderboard_math_counting_and_prob_hard,0.008130081300813009
01-ai_Yi-1.5-6B,leaderboard_math_geometry_hard,0.007575757575757576
01-ai_Yi-1.5-6B,leaderboard_math_intermediate_algebra_hard,0.017857142857142856
01-ai_Yi-1.5-6B,leaderboard_math_num_theory_hard,0.07792207792207792
01-ai_Yi-1.5-6B,leaderboard_math_prealgebra_hard,0.09844559585492228
01-ai_Yi-1.5-6B,leaderboard_math_precalculus_hard,0.022222222222222223
01-ai_Yi-1.5-6B,leaderboard_musr_murder_mysteries,0.524
01-ai_Yi-1.5-6B,leaderboard_musr_object_placements,0.32421875
01-ai_Yi-1.5-6B,leaderboard_musr_team_allocation,0.468
01-ai_Yi-1.5-6B-Chat,leaderboard_arc_challenge,0.5503412969283277
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_boolean_expressions,0.82
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_causal_judgement,0.6149732620320856
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_date_understanding,0.468
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_disambiguation_qa,0.58
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_formal_fallacies,0.54
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_geometric_shapes,0.412
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_hyperbaton,0.588
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_logical_deduction_five_objects,0.34
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_logical_deduction_seven_objects,0.316
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_logical_deduction_three_objects,0.516
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_movie_recommendation,0.536
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_navigate,0.612
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_object_counting,0.412
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_penguins_in_a_table,0.4383561643835616
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_reasoning_about_colored_objects,0.436
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_ruin_names,0.356
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_salient_translation_error_detection,0.356
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_snarks,0.7303370786516854
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_sports_understanding,0.56
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_temporal_sequences,0.236
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_tracking_shuffled_objects_five_objects,0.148
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_tracking_shuffled_objects_seven_objects,0.124
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_tracking_shuffled_objects_three_objects,0.288
01-ai_Yi-1.5-6B-Chat,leaderboard_bbh_web_of_lies,0.504
01-ai_Yi-1.5-6B-Chat,leaderboard_gpqa_diamond,0.32323232323232326
01-ai_Yi-1.5-6B-Chat,leaderboard_gpqa_extended,0.30036630036630035
01-ai_Yi-1.5-6B-Chat,leaderboard_gpqa_main,0.33705357142857145
01-ai_Yi-1.5-6B-Chat,leaderboard_math_algebra_hard,0.2182410423452769
01-ai_Yi-1.5-6B-Chat,leaderboard_math_counting_and_prob_hard,0.06504065040650407
01-ai_Yi-1.5-6B-Chat,leaderboard_math_geometry_hard,0.030303030303030304
01-ai_Yi-1.5-6B-Chat,leaderboard_math_intermediate_algebra_hard,0.02857142857142857
01-ai_Yi-1.5-6B-Chat,leaderboard_math_num_theory_hard,0.12987012987012986
01-ai_Yi-1.5-6B-Chat,leaderboard_math_prealgebra_hard,0.2849740932642487
01-ai_Yi-1.5-6B-Chat,leaderboard_math_precalculus_hard,0.02962962962962963
01-ai_Yi-1.5-6B-Chat,leaderboard_musr_murder_mysteries,0.524
01-ai_Yi-1.5-6B-Chat,leaderboard_musr_object_placements,0.26171875
01-ai_Yi-1.5-6B-Chat,leaderboard_musr_team_allocation,0.544
01-ai_Yi-1.5-9B,leaderboard_arc_challenge,0.5827645051194539
01-ai_Yi-1.5-9B,leaderboard_bbh_boolean_expressions,0.832
01-ai_Yi-1.5-9B,leaderboard_bbh_causal_judgement,0.5721925133689839
01-ai_Yi-1.5-9B,leaderboard_bbh_date_understanding,0.508
01-ai_Yi-1.5-9B,leaderboard_bbh_disambiguation_qa,0.624
01-ai_Yi-1.5-9B,leaderboard_bbh_formal_fallacies,0.532
01-ai_Yi-1.5-9B,leaderboard_bbh_geometric_shapes,0.472
01-ai_Yi-1.5-9B,leaderboard_bbh_hyperbaton,0.656
01-ai_Yi-1.5-9B,leaderboard_bbh_logical_deduction_five_objects,0.42
01-ai_Yi-1.5-9B,leaderboard_bbh_logical_deduction_seven_objects,0.408
01-ai_Yi-1.5-9B,leaderboard_bbh_logical_deduction_three_objects,0.536
01-ai_Yi-1.5-9B,leaderboard_bbh_movie_recommendation,0.848
01-ai_Yi-1.5-9B,leaderboard_bbh_navigate,0.424
01-ai_Yi-1.5-9B,leaderboard_bbh_object_counting,0.396
01-ai_Yi-1.5-9B,leaderboard_bbh_penguins_in_a_table,0.4794520547945205
01-ai_Yi-1.5-9B,leaderboard_bbh_reasoning_about_colored_objects,0.516
01-ai_Yi-1.5-9B,leaderboard_bbh_ruin_names,0.676
01-ai_Yi-1.5-9B,leaderboard_bbh_salient_translation_error_detection,0.472
01-ai_Yi-1.5-9B,leaderboard_bbh_snarks,0.5674157303370787
01-ai_Yi-1.5-9B,leaderboard_bbh_sports_understanding,0.76
01-ai_Yi-1.5-9B,leaderboard_bbh_temporal_sequences,0.488
01-ai_Yi-1.5-9B,leaderboard_bbh_tracking_shuffled_objects_five_objects,0.18
01-ai_Yi-1.5-9B,leaderboard_bbh_tracking_shuffled_objects_seven_objects,0.148
01-ai_Yi-1.5-9B,leaderboard_bbh_tracking_shuffled_objects_three_objects,0.34
01-ai_Yi-1.5-9B,leaderboard_bbh_web_of_lies,0.488
01-ai_Yi-1.5-9B,leaderboard_gpqa_diamond,0.41919191919191917
01-ai_Yi-1.5-9B,leaderboard_gpqa_extended,0.3553113553113553
01-ai_Yi-1.5-9B,leaderboard_gpqa_main,0.390625
01-ai_Yi-1.5-9B,leaderboard_math_algebra_hard,0.16612377850162866
01-ai_Yi-1.5-9B,leaderboard_math_counting_and_prob_hard,0.0975609756097561
01-ai_Yi-1.5-9B,leaderboard_math_geometry_hard,0.030303030303030304
01-ai_Yi-1.5-9B,leaderboard_math_intermediate_algebra_hard,0.025
01-ai_Yi-1.5-9B,leaderboard_math_num_theory_hard,0.08441558441558442
01-ai_Yi-1.5-9B,leaderboard_math_prealgebra_hard,0.23834196891191708
01-ai_Yi-1.5-9B,leaderboard_math_precalculus_hard,0.014814814814814815
01-ai_Yi-1.5-9B,leaderboard_musr_murder_mysteries,0.528
01-ai_Yi-1.5-9B,leaderboard_musr_object_placements,0.40234375
01-ai_Yi-1.5-9B,leaderboard_musr_team_allocation,0.368
01-ai_Yi-1.5-9B-32K,leaderboard_arc_challenge,0.5750853242320819
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_boolean_expressions,0.836
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_causal_judgement,0.5454545454545454
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_date_understanding,0.52
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_disambiguation_qa,0.616
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_formal_fallacies,0.544
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_geometric_shapes,0.484
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_hyperbaton,0.568
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_logical_deduction_five_objects,0.464
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_logical_deduction_seven_objects,0.424
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_logical_deduction_three_objects,0.576
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_movie_recommendation,0.744
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_navigate,0.42
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_object_counting,0.416
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_penguins_in_a_table,0.5342465753424658
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_reasoning_about_colored_objects,0.532
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_ruin_names,0.624
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_salient_translation_error_detection,0.428
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_snarks,0.5842696629213483
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_sports_understanding,0.808
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_temporal_sequences,0.184
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_tracking_shuffled_objects_five_objects,0.12
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_tracking_shuffled_objects_seven_objects,0.112
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_tracking_shuffled_objects_three_objects,0.34
01-ai_Yi-1.5-9B-32K,leaderboard_bbh_web_of_lies,0.488
01-ai_Yi-1.5-9B-32K,leaderboard_gpqa_diamond,0.398989898989899
