path,size_bytes,stage,stage_description
T02/T02_compute_optimal_allocation.csv,1300,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
T02/T02_main_params.json,436,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
T02/T02_residuals_by_D_bin.csv,452,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
T02/T02_residuals_by_model.csv,1072,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
T02/T02_subset_sensitivity.csv,1583,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
T02/T02_time_extrapolation.json,392,T02,经典律拟合(B1)、子集敏感性、LOMO、时间外推、自助CI、计算最优分配
T03/T03_B10_generator_identification.json,203,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B10_pointwise.csv,7018,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B1_vs_Chinchilla_published_params.json,141,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B2_leave_one_model_out_offset.csv,1066,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B2_param_compare.csv,262,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B2_pointwise.csv,91291,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B2_resid_by_model.csv,389,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B3_pointwise.csv,180920,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B3_trajectory_metrics_by_model.csv,1152,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B4_B5_refit_params.csv,286,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B4_by_family.csv,892,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B4_pointwise.csv,4646,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B5_by_family.csv,693,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_B5_pointwise.csv,4535,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T03/T03_validation_summary.csv,1930,T03,经典律验证(B2/B3/B4/B5)与B10生成律识别
T04/T04_B7_pointwise_best.csv,47130,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04_B8_diagnostics.json,461,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04_B8_linear_mixture_representation.csv,10528,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04_B8_with_classic.csv,169409,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04_anchor_F_test.csv,736,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04_best_bootstrap_CI.csv,197,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04_best_bootstrap_q.csv,17143,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04_best_model.json,246,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04_candidate_comparison.csv,4569,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04_resid_by_D.csv,276,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04_resid_by_N.csv,465,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04_resid_by_Q.csv,501,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04b_B7_pointwise_final.csv,34874,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04b_anchor_levels_linear_Q.csv,1294,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04b_bootstrap_CI.csv,342,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04b_bootstrap_cN_cD.csv,39033,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T04/T04b_final_quality_law.json,425,T04,质量通道8种候选比较、锚定F检验、最终形式/锚定层级、自助CI、B8诊断
T05/T05_H_mult_validation.csv,970,T05,配比效应尺度收缩、H_mult检验、口径桥接、跨域质量通道检验
T05/T05_bridge_constants.json,308,T05,配比效应尺度收缩、H_mult检验、口径桥接、跨域质量通道检验
T05/T05_cross_domain_quality_channel_test.csv,765,T05,配比效应尺度收缩、H_mult检验、口径桥接、跨域质量通道检验
T05/T05_domain_Q_A_and_Q_B.csv,2199,T05,配比效应尺度收缩、H_mult检验、口径桥接、跨域质量通道检验
T05/T05_mixture_Psi_and_Q.csv,888,T05,配比效应尺度收缩、H_mult检验、口径桥接、跨域质量通道检验
T05/T05_mixture_effect_slopes_by_scale.csv,985,T05,配比效应尺度收缩、H_mult检验、口径桥接、跨域质量通道检验
T05/T05_per_mixture_Psi_Qmix.csv,135442,T05,配比效应尺度收缩、H_mult检验、口径桥接、跨域质量通道检验
T06/T06_critical_quality_cost_gprime.csv,301,T06,广义律参数、退化核对、弹性网格、质量-规模等效与临界条件、成本账、领域曲率/边际价值
T06/T06_degeneracy_checks.csv,482,T06,广义律参数、退化核对、弹性网格、质量-规模等效与临界条件、成本账、领域曲率/边际价值
T06/T06_domain_marginal_value_by_scale.csv,13815,T06,广义律参数、退化核对、弹性网格、质量-规模等效与临界条件、成本账、领域曲率/边际价值
T06/T06_domain_pair_curvature_substitution.csv,53731,T06,广义律参数、退化核对、弹性网格、质量-规模等效与临界条件、成本账、领域曲率/边际价值
T06/T06_domain_substitution_elasticity.csv,28484,T06,广义律参数、退化核对、弹性网格、质量-规模等效与临界条件、成本账、领域曲率/边际价值
T06/T06_elasticity_grid.csv,13401,T06,广义律参数、退化核对、弹性网格、质量-规模等效与临界条件、成本账、领域曲率/边际价值
T06/T06_family_interactions_scaled.csv,3651,T06,广义律参数、退化核对、弹性网格、质量-规模等效与临界条件、成本账、领域曲率/边际价值
T06/T06_generalized_law_params.json,641,T06,广义律参数、退化核对、弹性网格、质量-规模等效与临界条件、成本账、领域曲率/边际价值
T06/T06_marginal_cost_effectiveness.csv,5488,T06,广义律参数、退化核对、弹性网格、质量-规模等效与临界条件、成本账、领域曲率/边际价值
T06/T06_quality_vs_scale_equivalence.csv,31935,T06,广义律参数、退化核对、弹性网格、质量-规模等效与临界条件、成本账、领域曲率/边际价值
T06/T06_substitution_critical_D.csv,1482,T06,广义律参数、退化核对、弹性网格、质量-规模等效与临界条件、成本账、领域曲率/边际价值
T07/T07_B2_family_B_transfer_LOMO.csv,1419,T07,B9/B10百亿以上外推、不确定性网格、B8 Q=1切片、B2族数据系数迁移
T07/T07_B2_family_B_transfer_all.json,334,T07,B9/B10百亿以上外推、不确定性网格、B8 Q=1切片、B2族数据系数迁移
T07/T07_B8_Q1_slice_vs_classic.csv,312,T07,B9/B10百亿以上外推、不确定性网格、B8 Q=1切片、B2族数据系数迁移
T07/T07_B9_large_models_extrapolation.csv,47882,T07,B9/B10百亿以上外推、不确定性网格、B8 Q=1切片、B2族数据系数迁移
T07/T07_B9_summary.json,529,T07,B9/B10百亿以上外推、不确定性网格、B8 Q=1切片、B2族数据系数迁移
T07/T07_extrapolation_uncertainty_grid.csv,4198,T07,B9/B10百亿以上外推、不确定性网格、B8 Q=1切片、B2族数据系数迁移
figures/F01_B1_fit.png,168611,figures,图表
figures/F02_validation.png,186409,figures,图表
figures/F03_quality_law.png,165881,figures,图表
figures/F04_B8_diagnostic.png,93111,figures,图表
figures/F05_mixture_scaling.png,72344,figures,图表
figures/F06_elasticity_substitution.png,147868,figures,图表
figures/F07_cost_effectiveness.png,163016,figures,图表
figures/F08_large_extrapolation.png,145903,figures,图表
figures/F09_domain_marginal_by_scale.png,103710,figures,图表
