point,domain_i,domain_j,p_i,p_j,sigma,MRS_i_over_j
p*,pubmed_central,enron_emails,0.0979163295359779,0.0015731864056306,5.422737496953185,0.9064526224253016
p_ref,pubmed_central,gutenberg_pg_19,0.1171161131911714,0.0483168927472502,-8.284841124487135,1.0044724053010137
p*,pubmed_central,gutenberg_pg_19,0.0979163295359779,0.0384426250751941,-6.544230254445371,1.0119399395388275
p_ref,pubmed_central,pile_cc,0.1171161131911714,0.1163173355471893,-10.637025970741503,1.0714444702206225
p*,pubmed_central,pile_cc,0.0979163295359779,0.1495991771877273,-9.13428221833582,1.0302213265923348
p_ref,pubmed_central,ubuntu_irc,0.1171161131911714,0.0198499537179258,-0.5183354475717181,2.4992335150210754
p*,pubmed_central,ubuntu_irc,0.0979163295359779,0.0412334696901143,-2.474581355472838,1.1668455137130909
p_ref,pubmed_central,europarl,0.1171161131911714,0.0131905705768079,16.166818397170196,0.9008170051820612
p*,pubmed_central,europarl,0.0979163295359779,0.0056850989469004,7.7471499807119795,0.7979130938772064
p_ref,pubmed_central,hackernews,0.1171161131911714,0.0116619852119038,-1.8942342014801947,1.6915379930755594
p*,pubmed_central,hackernews,0.0979163295359779,0.0370865525074324,-7.106886226916655,1.1796837793592603
p_ref,pubmed_central,pubmed_abstracts,0.1171161131911714,0.0667829932263871,-11.29493924106119,1.032154373084801
p*,pubmed_central,pubmed_abstracts,0.0979163295359779,0.0641841018028109,-9.735088558574082,1.0106534022681635
p_ref,pubmed_central,uspto_backgrounds,0.1171161131911714,0.075329842062607,-10.317330225080518,0.9973558249104351
p*,pubmed_central,uspto_backgrounds,0.0979163295359779,0.0662765423234883,-8.664427868230858,0.984736565737184
p_ref,wikipedia_en,dm_mathematics,0.0767974332462365,0.0268830894510259,-0.5087509090475977,2.2289427614357584
p*,wikipedia_en,dm_mathematics,0.0745206064974201,0.0448152736693459,-1.9425545247534572,1.159238725609438
p_ref,wikipedia_en,github,0.0767974332462365,0.1152733336192701,-9.260591847330426,0.9371587240896375
p*,wikipedia_en,github,0.0745206064974201,0.0790460862008018,-7.060702924793537,0.9876667981850266
p_ref,wikipedia_en,philpapers,0.0767974332462365,0.0054111255585165,18.934298496199887,1.0854423148575203
p*,wikipedia_en,philpapers,0.0745206064974201,0.0044458356139571,16.30522296237324,1.067987958366759
p_ref,wikipedia_en,stackexchange,0.0767974332462365,0.0999208133866591,-7.401813289253813,1.06553202442292
p*,wikipedia_en,stackexchange,0.0745206064974201,0.1294347138939774,-8.724413988477357,1.02111176185771
p_ref,wikipedia_en,enron_emails,0.0767974332462365,0.0022591816301773,5.751751868968106,0.9618585135790657
p*,wikipedia_en,enron_emails,0.0745206064974201,0.0015731864056306,5.449640887982786,0.8960606071033808
p_ref,wikipedia_en,gutenberg_pg_19,0.0767974332462365,0.0483168927472502,-8.83942947144913,0.9725016289830415
p*,wikipedia_en,gutenberg_pg_19,0.0745206064974201,0.0384426250751941,-7.254337840655529,1.000338566122957
p_ref,wikipedia_en,pile_cc,0.0767974332462365,0.1163173355471893,-11.318182410354037,1.0373420784438308
p*,wikipedia_en,pile_cc,0.0745206064974201,0.1495991771877273,-11.437698371934989,1.0184103664317565
p_ref,wikipedia_en,ubuntu_irc,0.0767974332462365,0.0198499537179258,-0.5365786212635273,2.4196868442977784
p*,wikipedia_en,ubuntu_irc,0.0745206064974201,0.0412334696901143,-2.7050433279135024,1.1534682271822438
p_ref,wikipedia_en,europarl,0.0767974332462365,0.0131905705768079,18.49810606010861,0.8721454171681817
p*,wikipedia_en,europarl,0.0745206064974201,0.0056850989469004,7.886428861834047,0.7887654286909694
p_ref,wikipedia_en,hackernews,0.0767974332462365,0.0116619852119038,-1.9467945512010119,1.6376990000633385
p*,wikipedia_en,hackernews,0.0745206064974201,0.0370865525074324,-7.784831421500189,1.1661593086844202
p_ref,wikipedia_en,pubmed_abstracts,0.0767974332462365,0.0667829932263871,-11.76056218018833,0.9993025232844852
p*,wikipedia_en,pubmed_abstracts,0.0745206064974201,0.0641841018028109,-11.349412798657779,0.9990667783435495
p_ref,wikipedia_en,uspto_backgrounds,0.0767974332462365,0.075329842062607,-10.918883272872648,0.9656115581497343
p*,wikipedia_en,uspto_backgrounds,0.0745206064974201,0.0662765423234883,-10.116723190513392,0.9734470650771099
p_ref,dm_mathematics,github,0.0268830894510259,0.1152733336192701,-0.4837291073227335,0.42044988337249767
p*,dm_mathematics,github,0.0448152736693459,0.0790460862008018,-1.8196599752902256,0.8519960352996212
p_ref,dm_mathematics,philpapers,0.0268830894510259,0.0054111255585165,-1.6233480788532815,0.48697630717010426
p*,dm_mathematics,philpapers,0.0448152736693459,0.0044458356139571,-143.37475314523232,0.921283886375771
p_ref,dm_mathematics,stackexchange,0.0268830894510259,0.0999208133866591,-0.49478439467462415,0.47804369087367893
p*,dm_mathematics,stackexchange,0.0448152736693459,0.1294347138939774,-1.700207468515282,0.8808468344782809
p_ref,dm_mathematics,enron_emails,0.0268830894510259,0.0022591816301773,-4.639452155899192,0.4315312758231131
p*,dm_mathematics,enron_emails,0.0448152736693459,0.0015731864056306,6.648007612544479,0.7729733206008119
p_ref,dm_mathematics,gutenberg_pg_19,0.0268830894510259,0.0483168927472502,-0.5432438441532944,0.43630623711333494
p*,dm_mathematics,gutenberg_pg_19,0.0448152736693459,0.0384426250751941,-2.2709799922953033,0.8629271469490086
p_ref,dm_mathematics,pile_cc,0.0268830894510259,0.1163173355471893,-0.48881516188374674,0.4653964634675652
p*,dm_mathematics,pile_cc,0.0448152736693459,0.1495991771877273,-1.7035654190944947,0.8785165159974752
p_ref,dm_mathematics,ubuntu_irc,0.0268830894510259,0.0198499537179258,-0.46827868875117895,1.0855760345946046
p*,dm_mathematics,ubuntu_irc,0.0448152736693459,0.0412334696901143,-1.6458153314834845,0.9950221655818474
p_ref,dm_mathematics,europarl,0.0268830894510259,0.0131905705768079,-0.8204443786194856,0.3912821056949866
p*,dm_mathematics,europarl,0.0448152736693459,0.0056850989469004,87.44689749371577,0.6804167349363676
p_ref,dm_mathematics,hackernews,0.0268830894510259,0.0116619852119038,-0.8436055258895288,0.7347425103946705
p*,dm_mathematics,hackernews,0.0448152736693459,0.0370865525074324,-2.4730176039352467,1.0059699377894264
p_ref,dm_mathematics,pubmed_abstracts,0.0268830894510259,0.0667829932263871,-0.519773468576099,0.44833027593799285
p*,dm_mathematics,pubmed_abstracts,0.0448152736693459,0.0641841018028109,-2.0752058550279537,0.8618300581860889
p_ref,dm_mathematics,uspto_backgrounds,0.0268830894510259,0.075329842062607,-0.5084176208109776,0.4332150537269706
p*,dm_mathematics,uspto_backgrounds,0.0448152736693459,0.0662765423234883,-2.008655576924298,0.8397295945797073
p_ref,github,philpapers,0.1152733336192701,0.0054111255585165,17.931982714369223,1.1582267624002822
p*,github,philpapers,0.0790460862008018,0.0044458356139571,17.19408172037766,1.081324147302849
p_ref,github,stackexchange,0.1152733336192701,0.0999208133866591,-6.6126826971005706,1.1369813853656274
p*,github,stackexchange,0.0790460862008018,0.1294347138939774,-6.176396338192073,1.033862597926895
p_ref,github,enron_emails,0.1152733336192701,0.0022591816301773,5.661078054106988,1.0263560364477444
p*,github,enron_emails,0.0790460862008018,0.0015731864056306,5.48498786733369,0.9072499032568627
p_ref,github,gutenberg_pg_19,0.1152733336192701,0.0483168927472502,-8.329940251985832,1.0377128270643123
p*,github,gutenberg_pg_19,0.0790460862008018,0.0384426250751941,-6.118798705775065,1.0128300029536443
p_ref,github,pile_cc,0.1152733336192701,0.1163173355471893,-10.785886314039141,1.1069011596210792
p*,github,pile_cc,0.0790460862008018,0.1495991771877273,-7.349526784941613,1.0311274696114372
p_ref,github,ubuntu_irc,0.1152733336192701,0.0198499537179258,-0.517862513150726,2.5819391978112125
p*,github,ubuntu_irc,0.0790460862008018,0.0412334696901143,-2.5042403226186156,1.167871826107651
p_ref,github,europarl,0.1152733336192701,0.0131905705768079,16.01528375384999,0.9306272190075271
p*,github,europarl,0.0790460862008018,0.0056850989469004,8.203287727671908,0.7986149075178333
p_ref,github,hackernews,0.1152733336192701,0.0116619852119038,-1.8933343405718963,1.7475150771863226
p*,github,hackernews,0.0790460862008018,0.0370865525074324,-6.636476669267866,1.1807213837980564
p_ref,github,pubmed_abstracts,0.1152733336192701,0.0667829932263871,-11.42270620924571,1.0663108581262097
p*,github,pubmed_abstracts,0.0790460862008018,0.0641841018028109,-8.224585403354569,1.0115423340943241
p_ref,github,uspto_backgrounds,0.1152733336192701,0.075329842062607,-10.428896921425,1.030360741813225
p*,github,uspto_backgrounds,0.0790460862008018,0.0662765423234883,-7.47557592486316,0.9856027021116358
p_ref,philpapers,stackexchange,0.0054111255585165,0.0999208133866591,19.6997926644088,0.9816569796827814
p*,philpapers,stackexchange,0.0044458356139571,0.1294347138939774,15.579281540204514,0.9561079353546875
p_ref,philpapers,enron_emails,0.0054111255585165,0.0022591816301773,6.943279853792913,0.8861442938175147
p*,philpapers,enron_emails,0.0044458356139571,0.0015731864056306,6.460455700797367,0.8390175189556431
p_ref,philpapers,gutenberg_pg_19,0.0054111255585165,0.0483168927472502,21.69542616499761,0.8959496194974638
p*,philpapers,gutenberg_pg_19,0.0044458356139571,0.0384426250751941,20.589217181506104,0.9366571582443156
p_ref,philpapers,pile_cc,0.0054111255585165,0.1163173355471893,17.480732033310538,0.9556860500504779
p*,philpapers,pile_cc,0.0044458356139571,0.1495991771877273,14.881629127177785,0.9535785103693304
p_ref,philpapers,ubuntu_irc,0.0054111255585165,0.0198499537179258,-1.3577444159688656,2.2292173533103843
p*,philpapers,ubuntu_irc,0.0044458356139571,0.0412334696901143,87.47889222350344,1.0800386073137072
p_ref,philpapers,europarl,0.0054111255585165,0.0131905705768079,14.652921221845249,0.8034931062022059
p*,philpapers,europarl,0.0044458356139571,0.0056850989469004,10.062206972636211,0.7385527360226084
p_ref,philpapers,hackernews,0.0054111255585165,0.0116619852119038,-5.254702670733078,1.5087849235712814
p*,philpapers,hackernews,0.0044458356139571,0.0370865525074324,21.55202502589989,1.0919217764100932
p_ref,philpapers,pubmed_abstracts,0.0054111255585165,0.0667829932263871,18.67233406110483,0.9206408388599241
p*,philpapers,pubmed_abstracts,0.0044458356139571,0.0641841018028109,16.17455082625339,0.9354663322902924
p_ref,philpapers,uspto_backgrounds,0.0054111255585165,0.075329842062607,18.465700852152114,0.8896019115271774
p*,philpapers,uspto_backgrounds,0.0044458356139571,0.0662765423234883,16.351042487589005,0.9114775662506274
p_ref,stackexchange,enron_emails,0.0999208133866591,0.0022591816301773,5.763007325353309,0.9027025856871803
p*,stackexchange,enron_emails,0.1294347138939774,0.0015731864056306,5.379348934591362,0.8775343116929498
p_ref,stackexchange,gutenberg_pg_19,0.0999208133866591,0.0483168927472502,-7.147185866707777,0.9126911314652766
p*,stackexchange,gutenberg_pg_19,0.1294347138939774,0.0384426250751941,-6.692494876716451,0.9796562957056137
p_ref,stackexchange,pile_cc,0.0999208133866591,0.1163173355471893,-7.843792531319439,0.9735437834500033
p*,stackexchange,pile_cc,0.1294347138939774,0.1495991771877273,-10.508529864826262,0.9973544566551278
p_ref,stackexchange,ubuntu_irc,0.0999208133866591,0.0198499537179258,-0.526035306982586,2.270872004629099
p*,stackexchange,ubuntu_irc,0.1294347138939774,0.0412334696901143,-2.4017053928935828,1.12961995960534
p_ref,stackexchange,europarl,0.0999208133866591,0.0131905705768079,20.639284253307284,0.818506996671945
p*,stackexchange,europarl,0.1294347138939774,0.0056850989469004,7.456854204468803,0.7724574901144685
p_ref,stackexchange,hackernews,0.0999208133866591,0.0116619852119038,-1.903409510292274,1.536977737436186
p*,stackexchange,hackernews,0.1294347138939774,0.0370865525074324,-7.293343031127516,1.1420486495648872
p_ref,stackexchange,pubmed_abstracts,0.0999208133866591,0.0667829932263871,-8.723845807070928,0.9378437253687388
p*,stackexchange,pubmed_abstracts,0.1294347138939774,0.0641841018028109,-10.73945272212196,0.9784108024825275
p_ref,stackexchange,uspto_backgrounds,0.0999208133866591,0.075329842062607,-8.029254817471543,0.9062248116594136
p*,stackexchange,uspto_backgrounds,0.1294347138939774,0.0662765423234883,-9.374274501025273,0.9533207837172656
p_ref,enron_emails,gutenberg_pg_19,0.0022591816301773,0.0483168927472502,5.931072309806262,1.0110651569370352
p*,enron_emails,gutenberg_pg_19,0.0015731864056306,0.0384426250751941,5.70746810636689,1.1163737789530406
p_ref,enron_emails,pile_cc,0.0022591816301773,0.1163173355471893,5.645907539936388,1.0784767861375906
p*,enron_emails,pile_cc,0.0015731864056306,0.1495991771877273,5.3357777166178115,1.1365418347358058
p_ref,enron_emails,ubuntu_irc,0.0022591816301773,0.0198499537179258,-3.1744813868315123,2.515636977931555
p*,enron_emails,ubuntu_irc,0.0015731864056306,0.0412334696901143,6.3240290676742985,1.2872658590705857
p_ref,enron_emails,europarl,0.0022591816301773,0.0131905705768079,5.9115340748703495,0.9067294252279762
p*,enron_emails,europarl,0.0015731864056306,0.0056850989469004,5.487226404650537,0.8802590164528543
p_ref,enron_emails,hackernews,0.0022591816301773,0.0116619852119038,5405.474016131137,1.7026402292468954
p*,enron_emails,hackernews,0.0015731864056306,0.0370865525074324,5.777484333016826,1.3014290545080032
p_ref,enron_emails,pubmed_abstracts,0.0022591816301773,0.0667829932263871,5.7574151543226915,1.0389288124779297
p*,enron_emails,pubmed_abstracts,0.0015731864056306,0.0641841018028109,5.456526804433664,1.1149544689540007
p_ref,enron_emails,uspto_backgrounds,0.0022591816301773,0.075329842062607,5.728419346803553,1.00390186760078
p*,enron_emails,uspto_backgrounds,0.0015731864056306,0.0662765423234883,5.459763963170375,1.0863629729510036
p_ref,gutenberg_pg_19,pile_cc,0.0483168927472502,0.1163173355471893,-9.53349740368732,1.0666738723395186
p*,gutenberg_pg_19,pile_cc,0.0384426250751941,0.1495991771877273,-7.473018580156364,1.0180656838802498
p_ref,gutenberg_pg_19,ubuntu_irc,0.0483168927472502,0.0198499537179258,-0.5623617590727917,2.488105697908268
p*,gutenberg_pg_19,ubuntu_irc,0.0384426250751941,0.0412334696901143,-3.0120033060214615,1.1530778340904884
p_ref,gutenberg_pg_19,europarl,0.0483168927472502,0.0131905705768079,27.207051861765315,0.8968061247159003
p*,gutenberg_pg_19,europarl,0.0384426250751941,0.0056850989469004,9.884162874563078,0.7884984698210846
p_ref,gutenberg_pg_19,hackernews,0.0483168927472502,0.0116619852119038,-2.0087067294416676,1.6840064337742067
p*,gutenberg_pg_19,hackernews,0.0384426250751941,0.0370865525074324,-6.851347588913981,1.1657646202766527
p_ref,gutenberg_pg_19,pubmed_abstracts,0.0483168927472502,0.0667829932263871,-10.061019697452615,1.0275587140450035
p*,gutenberg_pg_19,pubmed_abstracts,0.0384426250751941,0.0641841018028109,-8.030812202923217,0.9987286426591183
p_ref,gutenberg_pg_19,uspto_backgrounds,0.0483168927472502,0.075329842062607,-9.481424078693667,0.992915106126339
p*,gutenberg_pg_19,uspto_backgrounds,0.0384426250751941,0.0662765423234883,-7.534769540786079,0.9731176004239531
p_ref,pile_cc,ubuntu_irc,0.1163173355471893,0.0198499537179258,-0.5217201893087362,2.332583334446119
p*,pile_cc,ubuntu_irc,0.1495991771877273,0.0412334696901143,-2.4393791047932805,1.1326163452397826
p_ref,pile_cc,europarl,0.1163173355471893,0.0131905705768079,15.062584372818009,0.8407500623868754
p*,pile_cc,europarl,0.1495991771877273,0.0056850989469004,7.15658662219751,0.7745064805797266
p_ref,pile_cc,hackernews,0.1163173355471893,0.0116619852119038,-1.9118009436399368,1.578745366735854
p*,pile_cc,hackernews,0.1495991771877273,0.0370865525074324,-8.105741321695849,1.1450780030552294
p_ref,pile_cc,pubmed_abstracts,0.1163173355471893,0.0667829932263871,-14.24804582236917,0.9633297868178542
p*,pile_cc,pubmed_abstracts,0.1495991771877273,0.0641841018028109,-14.81632173136879,0.9810060966327534
p_ref,pile_cc,uspto_backgrounds,0.1163173355471893,0.075329842062607,-13.069859390103577,0.9308516237944353
p*,pile_cc,uspto_backgrounds,0.1495991771877273,0.0662765423234883,-12.393242932725927,0.9558495250670059
p_ref,ubuntu_irc,europarl,0.0198499537179258,0.0131905705768079,-0.7689096462576578,0.36043730998640394
p*,ubuntu_irc,europarl,0.0412334696901143,0.0056850989469004,24.502263505582228,0.6838206810583846
p_ref,ubuntu_irc,hackernews,0.0198499537179258,0.0116619852119038,-0.8006972844187877,0.6768227070055497
p*,ubuntu_irc,hackernews,0.0412334696901143,0.0370865525074324,-3.2552806869671977,1.0110025410350303
p_ref,ubuntu_irc,pubmed_abstracts,0.0198499537179258,0.0667829932263871,-0.5448709866600658,0.4129883689864399
p*,ubuntu_irc,pubmed_abstracts,0.0412334696901143,0.0641841018028109,-2.8941888846690738,0.866141567491742
p_ref,ubuntu_irc,uspto_backgrounds,0.0198499537179258,0.075329842062607,-0.5363592713913714,0.3990646807975543
p*,ubuntu_irc,uspto_backgrounds,0.0412334696901143,0.0662765423234883,-2.7941496492012377,0.8439305410735936
p_ref,europarl,hackernews,0.0131905705768079,0.0116619852119038,-2.872623856213908,1.8777820393540288
p*,europarl,hackernews,0.0056850989469004,0.0370865525074324,10.413161758208522,1.478461487111284
