特征,标准化系数
logp_stackexchange*logp_uspto_backgrounds,-0.008247678521311669
logp_enron_emails*logp_gutenberg_pg_19,0.008444117386022597
logp_enron_emails*logp_pile_cc,0.0011491873191578524
logp_enron_emails*logp_ubuntu_irc,-0.008669085696215013
logp_enron_emails*logp_europarl,0.0037801046961682557
logp_enron_emails*logp_hackernews,0.012066889294927774
logp_enron_emails*logp_pubmed_abstracts,0.006377586887924967
logp_enron_emails*logp_uspto_backgrounds,-0.0005966759762152029
logp_gutenberg_pg_19*logp_pile_cc,0.007091633525087071
logp_gutenberg_pg_19*logp_ubuntu_irc,-0.003758814212304019
logp_gutenberg_pg_19*logp_europarl,0.01586169692946393
logp_gutenberg_pg_19*logp_hackernews,0.013980485791459116
logp_gutenberg_pg_19*logp_pubmed_abstracts,-0.01358642924781367
logp_gutenberg_pg_19*logp_uspto_backgrounds,-0.002382917270140651
logp_pile_cc*logp_ubuntu_irc,-0.007589090345529331
logp_pile_cc*logp_europarl,-0.0037052105535663495
logp_pile_cc*logp_hackernews,0.02710964121251679
logp_pile_cc*logp_pubmed_abstracts,0.008309007276172077
logp_pile_cc*logp_uspto_backgrounds,0.0023460707275371195
logp_ubuntu_irc*logp_europarl,0.005107866904028813
logp_ubuntu_irc*logp_hackernews,0.0039880025174862666
logp_ubuntu_irc*logp_pubmed_abstracts,0.006718670179910569
logp_ubuntu_irc*logp_uspto_backgrounds,0.013107836023866844
logp_europarl*logp_hackernews,-0.001239661809182082
logp_europarl*logp_pubmed_abstracts,0.004002418806546494
logp_europarl*logp_uspto_backgrounds,-0.007858710009089947
logp_hackernews*logp_pubmed_abstracts,0.002005415420164967
logp_hackernews*logp_uspto_backgrounds,0.011118723888883277
logp_pubmed_abstracts*logp_uspto_backgrounds,-4.141105120064603e-05
H_p,0.00466266172416252
max_p,0.0060717208375680315
